;ug;loc;depA;tei;tef;tem
418;Espírito Santo;Urbana;Estadual;;6,2;6,1
419;Espírito Santo;Rural;Estadual;;6,1;6,2
420;Espírito Santo;Total;Municipal;5,3;5,0;
421;Espírito Santo;Urbana;Municipal;5,3;5,0;
422;Espírito Santo;Rural;Municipal;5,5;5,3;
423;Espírito Santo;Total;Privada;5,3;4,9;5,9
424;Espírito Santo;Urbana;Privada;5,3;4,8;5,5
425;Espírito Santo;Rural;Privada;8,7;10,0;10,0
426;Espírito Santo;Total;Pública;5,3;5,2;6,2
427;Espírito Santo;Urbana;Pública;5,3;5,2;6,1
428;Espírito Santo;Rural;Pública;5,5;5,4;7,5
429;Rio de Janeiro;Total;Total;5,8;5,0;6,0
430;Rio de Janeiro;Urbana;Total;5,8;5,0;6,0
431;Rio de Janeiro;Rural;Total;5,8;4,9;6,2
432;Rio de Janeiro;Total;Federal;7,8;5,1;7,7
433;Rio de Janeiro;Urbana;Federal;7,8;5,1;7,6
434;Rio de Janeiro;Rural;Federal;;;9,2
435;Rio de Janeiro;Total;Estadual;4,8;5,5;5,9
436;Rio de Janeiro;Urbana;Estadual;4,8;5,5;5,9
437;Rio de Janeiro;Rural;Estadual;;5,5;6,1
438;Rio de Janeiro;Total;Municipal;5,9;5,1;6,5
439;Rio de Janeiro;Urbana;Municipal;5,9;5,1;6,5
440;Rio de Janeiro;Rural;Municipal;5,8;4,9;
441;Rio de Janeiro;Total;Privada;5,7;4,7;6,1
442;Rio de Janeiro;Urbana;Privada;5,7;4,7;6,1
443;Rio de Janeiro;Rural;Privada;5,5;4,7;6,3
444;Rio de Janeiro;Total;Pública;5,9;5,2;6,0
445;Rio de Janeiro;Urbana;Pública;5,9;5,2;6,0
446;Rio de Janeiro;Rural;Pública;5,8;4,9;6,2
447;São Paulo;Total;Total;7,4;5,7;6,1
448;São Paulo;Urbana;Total;7,4;5,7;6,1
449;São Paulo;Rural;Total;6,0;5,8;6,3
450;São Paulo;Total;Federal;9,3;5,3;7,6
451;São Paulo;Urbana;Federal;10,9;5,3;7,6
452;São Paulo;Rural;Federal;4,0;;
453;São Paulo;Total;Estadual;8,5;6,2;6,2
454;São Paulo;Urbana;Estadual;9,1;6,2;6,2
455;São Paulo;Rural;Estadual;5,5;6,4;6,4
456;São Paulo;Total;Municipal;7,0;5,5;5,3
